service,days_observed,base_level,monthly_growth,noise_pct,used_fallback,f1_mean,auprc_mean,cost_weighted_recall_mean,mean_mctd_mean,cost_to_detect_ratio_mean,avoided_cost_ratio_mean,alert_cost_efficiency_mean,false_alarm_rate_mean
AWS / Compute,30,19.73,0.1,0.15,False,0.389,0.5651,0.7953,36.3917,0.2668,0.7332,83.5923,0.1837
AWS / Databases,30,0.57,-0.02,0.15,False,0.2306,0.5257,0.5936,0.4172,0.4924,0.5076,0.7272,0.0642
AWS / Other,30,1.48,-0.02,0.15,False,0.2616,0.5467,0.624,1.0625,0.4469,0.5531,1.7632,0.0586
AWS / Storage,30,0.57,0.1,0.15,False,0.4079,0.577,0.8244,0.916,0.236,0.764,2.1582,0.2004
Microsoft / AI and Machine Learning,19,1.33,0.04,0.15,True,0.4019,0.5964,0.8089,1.4817,0.2608,0.7392,3.2045,0.1435
Microsoft / Compute,19,1.33,0.04,0.15,True,0.4019,0.5964,0.8089,1.4817,0.2608,0.7392,3.2045,0.1435
Microsoft / Databases,18,1.33,0.04,0.15,True,0.4019,0.5964,0.8089,1.4817,0.2608,0.7392,3.2045,0.1435
Microsoft / Networking,19,1.33,0.04,0.15,True,0.4019,0.5964,0.8089,1.4817,0.2608,0.7392,3.2045,0.1435
Microsoft / Other,19,1.33,0.04,0.15,True,0.4019,0.5964,0.8089,1.4817,0.2608,0.7392,3.2045,0.1435
Microsoft / Storage,19,1.33,0.04,0.15,True,0.4019,0.5964,0.8089,1.4817,0.2608,0.7392,3.2045,0.1435
Microsoft / Web,18,1.33,0.04,0.15,True,0.4019,0.5964,0.8089,1.4817,0.2608,0.7392,3.2045,0.1435
Oracle / Compute,27,0.81,-0.02,0.15,False,0.2292,0.5234,0.6202,0.5606,0.4755,0.5245,1.0137,0.0698
